Station,Date,Range,HH,HHDate,LL,LLDate,Tide Stage,Tide Stage Fitted
8656483,2015-03-16T04:00:00,3.195,2.9,2015-03-15 08:12:00.0,-0.295,2015-03-16 02:00:00.0,2100,2100
8656483,2015-03-30T04:00:00,2.818,2.884,2015-03-29 07:54:00.0,0.066,2015-03-29 14:24:00.0,2000,2000
8656483,2015-04-06T04:00:00,3.553,3.104,2015-04-06 01:30:00.0,-0.449,2015-04-05 18:48:00.0,4100,4100
8656483,2015-04-13T04:00:00,3.208,3.192,2015-04-12 05:48:00.0,-0.016,2015-04-12 13:12:00.0,2100,2200
8656483,2015-04-20T04:00:00,5.013,4.436,2015-04-20 01:42:00.0,-0.577,2015-04-19 07:06:00.0,4100,4100
8656483,2015-04-27T04:00:00,2.54,3.734,2015-04-26 06:12:00.0,1.194,2015-04-26 13:30:00.0,2100,2100
8656483,2015-05-04T04:00:00,3.592,3.894,2015-05-04 00:18:00.0,0.302,2015-05-03 18:06:00.0,4200,4200
8656483,2015-05-12T04:00:00,3.849,4.075,2015-05-11 06:00:00.0,0.226,2015-05-12 00:48:00.0,2200,2200
8656483,2015-05-18T04:00:00,4.711,3.973,2015-05-18 00:24:00.0,-0.738,2015-05-17 17:36:00.0,4200,4200
8656483,2015-05-19T04:00:00,4.826,4.14,2015-05-19 01:00:00.0,-0.686,2015-05-18 18:24:00.0,4100,4100
8656483,2015-05-26T04:00:00,2.8739999999999997,2.969,2015-05-25 05:48:00.0,0.095,2015-05-25 12:24:00.0,2200,2200
8656483,2015-06-01T04:00:00,3.799,3.707,2015-05-31 23:30:00.0,-0.092,2015-05-31 16:48:00.0,4300,4200
8656483,2015-06-08T04:00:00,3.7430000000000003,4.206,2015-06-07 04:18:00.0,0.463,2015-06-07 10:30:00.0,2300,2300
8656483,2015-06-10T04:00:00,3.766,3.661,2015-06-09 05:30:00.0,-0.105,2015-06-09 12:06:00.0,2200,2200
8656483,2015-06-15T04:00:00,4.495,4.259,2015-06-14 23:00:00.0,-0.236,2015-06-14 16:36:00.0,4200,4300
8656483,2015-06-16T04:00:00,4.514,4.255,2015-06-15 23:54:00.0,-0.259,2015-06-15 17:24:00.0,4200,4200
8656483,2015-06-18T04:00:00,4.231999999999999,4.278,2015-06-18 01:48:00.0,0.046,2015-06-17 18:54:00.0,4100,4100
8656483,2015-06-22T04:00:00,3.4450000000000003,4.019,2015-06-21 04:00:00.0,0.574,2015-06-21 10:00:00.0,2300,2300
8656483,2015-06-25T04:00:00,2.9259999999999997,2.949,2015-06-24 18:54:00.0,0.023,2015-06-24 12:18:00.0,2200,2200
8656483,2015-06-29T04:00:00,3.602,3.658,2015-06-28 22:12:00.0,0.056,2015-06-28 15:36:00.0,2000,4300
8656483,2015-07-06T04:00:00,3.996,3.596,2015-07-05 04:00:00.0,-0.4,2015-07-05 09:12:00.0,4000,4000
8656483,2015-07-14T04:00:00,4.252,4.606,2015-07-13 22:48:00.0,0.354,2015-07-13 16:42:00.0,4300,4300
8656483,2015-07-15T04:00:00,4.213,4.662,2015-07-14 23:42:00.0,0.449,2015-07-14 17:12:00.0,4200,4200
8656483,2015-07-20T04:00:00,2.782,3.72,2015-07-19 14:42:00.0,0.938,2015-07-19 08:24:00.0,4000,4000
